"id","user1","user2","accepted"
"105","1","1852","1"
"114","1","1851","1"
"119","1","1856","1"
"120","1","1854","1"
"123","1","1864","1"
"125","1","1869","1"
"130","1","1877","1"
"131","1879","1848","1"
"132","1879","1866","1"
"134","1","1880","1"
"140","1","1868","1"
"143","1","1879","1"
"145","1","1872","1"
"147","1","1863","1"
"150","1","1886","1"
"160","1","1883","1"
"169","1","1866","1"
"170","1889","1884","1"
"171","1889","1879","1"
"172","1","1884","1"
"174","1","1893","1"
"175","1","1891","1"
"177","1899","1874","1"
"178","1899","1865","1"
"180","1899","1854","1"
"181","1899","1864","1"
"182","1899","1889","1"
"183","1899","1851","1"
"184","1899","1886","1"
"185","1899","1880","1"
"186","1899","1852","1"
"188","1899","1863","1"
"189","1","1902","1"
"191","1","1887","1"
"192","1","1897","1"
"194","1","1906","1"
"196","1","1918","1"
"197","1864","1848","1"
"199","1","1917","1"
"212","1933","1869","1"
"214","1","1926","1"
"215","1","1919","1"
"216","1934","1886","1"
"217","1934","1863","1"
"218","1934","1874","1"
"219","1934","1881","1"
"220","1934","1913","1"
"221","1934","1872","1"
"222","1934","1884","1"
"224","1934","1848","1"
"225","1934","1856","1"
"226","1934","1917","1"
"227","1934","1851","1"
"228","1","1946","1"
"229","1934","1946","1"
"230","1","1950","1"
"231","1","1948","1"
"232","1","1949","1"
"233","1896","1872","1"
"234","1","1957","1"
"235","1","1966","1"
"236","1","1967","1"
"237","1","1965","1"
"238","1","1901","1"
"240","1848","1974","1"
"241","1","1976","1"
"242","1","1964","1"
"243","1","1971","1"
"244","1","1994","1"
"245","1","1981","1"
"246","1","1987","1"
"247","1","1982","1"
"248","1998","1884","1"
"249","1998","1907","1"
"250","1998","1902","1"
"251","1998","1891","1"
"252","1998","1908","1"
"254","1998","1982","1"
"255","1998","1869","1"
"256","1","2003","1"
"257","1","2001","1"
"258","1","2006","1"
"259","1","2011","1"
"260","1998","1973","1"
"261","1998","2006","1"
"262","1998","2001","1"
"263","1998","2008","1"
"264","1998","1987","1"
"265","1998","1917","1"
"267","1","1959","1"
"268","1","2015","1"
"269","1998","2015","1"
"270","1","1998","1"
"271","1848","1998","1"
"272","1","2017","1"
"273","1","2021","1"
"274","1","2025","1"
"275","1","2022","1"
"276","1","2026","1"
"277","1","1972","1"
"278","2033","1982","1"
"280","1","2034","1"
"281","1","2016","1"
"282","1","1908","1"
"283","1","2010","1"
"285","1","2037","1"
"286","1","2035","1"
"287","1","2039","1"
"288","1","2041","1"
"289","1","2036","1"
"290","1","2042","1"
"293","1","2047","1"
"294","1","2049","1"
"295","1","2029","1"
"296","1","1969","1"
"297","1","2048","1"
"299","1","1922","1"
"301","1","1911","1"
"302","1","1910","1"
"303","1","2031","1"
"305","1","1913","1"
"306","1901","2030","1"
"308","1901","1896","1"
"309","1901","1884","1"
"310","1901","1872","1"
"311","1901","1976","1"
"312","1901","1848","1"
"314","1901","1892","1"
"315","1901","1863","1"
"316","1901","1929","1"
"317","1","2063","1"
"318","1","1956","1"
"320","1","2007","1"
"321","1","2065","1"
"322","1","2069","1"
"323","1","2070","1"
"324","1","1934","1"
"325","1","2073","1"
"327","1","2080","1"
"328","1","2081","1"
"329","1901","1899","1"
"330","1901","1906","1"
"331","1","1894","1"
"332","1","2085","1"
"333","1","2082","1"
"334","1","2086","1"
"336","1","2093","1"
"337","1","2099","1"
"338","1","2111","1"
"339","1","2101","1"
"341","1","1931","1"
"343","1998","2102","1"
"344","1911","1901","1"
"345","1911","1865","1"
"346","1911","1866","1"
"348","1911","1868","1"
"349","1911","1869","1"
"350","1911","1872","1"
"352","1","1980","1"
"353","1","2116","1"
"354","1891","1876","1"
"355","1891","1894","1"
"356","1891","1930","1"
"357","1891","1902","1"
"358","1891","2076","1"
"359","1891","2073","1"
"360","1891","2033","1"
"361","1891","1896","1"
"362","1891","1949","1"
"363","1891","2038","1"
"364","1891","1866","1"
"365","1876","1866","1"
"366","1876","1908","1"
"367","1876","1911","1"
"368","1876","1902","1"
"370","1","2123","1"
"371","1","2129","1"
"372","1","2135","1"
"373","1","2136","1"
"374","1","1951","1"
"375","1","2137","1"
"376","1","2139","1"
"378","1","2158","1"
"379","1","2159","1"
"380","1","1988","1"
"381","1848","1929","1"
"382","1","2162","1"
"383","1","2160","1"
"384","1","2166","1"
"385","1","2176","1"
"386","1","2181","1"
"387","1","2182","1"
"388","1","1936","1"
"392","1","2201","1"
"393","1","2205","1"
"394","1","2206","1"
"395","1","2214","1"
"397","1","2220","1"
"399","1","2222","1"
"400","1","2095","1"
"402","1","2224","1"
"403","1998","2079","1"
"404","1998","2206","1"
"405","1","2231","1"
"406","1","2228","1"
"407","1","2233","1"
"410","1","2249","1"
"411","1","2252","1"
"412","1","2250","1"
"413","1","2254","1"
"414","1","2248","1"
"416","1","2259","1"
"417","1","2258","1"
"418","2261","1998","1"
"419","1","1992","1"
"420","1","2261","1"
"421","1","2262","1"
"423","1","2246","1"
"424","1","2268","1"
"425","1","2265","1"
"427","1","2242","1"
"428","1","2213","1"
"429","1","2237","1"
"430","1","2270","1"
"431","1","2271","1"
"432","1","2275","1"
"434","1","2286","1"
"435","1","2284","1"
"436","1","2281","1"
"437","1896","2040","1"
"439","1","2291","1"
"440","1","2288","1"
"441","1","2279","1"
"442","1","2293","1"
"443","1","2299","1"
"444","1","2307","1"
"445","1","2311","1"
"446","1","2309","1"
"448","1","2315","1"
"449","1","2314","1"
"451","1","1930","1"
"452","1848","2034","1"
"453","1","2320","1"
"454","1","1865","1"
"455","1","2360","1"
"456","1","2349","1"
"457","1","2089","1"
"458","1848","2242","1"
"459","1848","1969","1"
"460","1848","2350","1"
"461","1848","1928","1"
"462","1848","2135","1"
"463","1","2180","1"
"464","1","1995","1"
"465","1","1997","1"
"466","1","1999","1"
"467","1","2350","1"
"469","1","2064","1"
"470","1848","1917","1"
"472","1","2372","1"
"473","1","2225","1"
"474","1","2380","1"
"478","1","2381","1"
"479","1","2229","1"
"480","1","2382","1"
"481","1","2383","1"
"482","1","2400","1"
"483","1","2404","1"
"484","1","2407","1"
"485","1","2263","1"
"486","1","2408","1"
"488","1","2414","1"
"489","1891","2042","1"
"491","1967","1869","1"
"492","1","2441","1"
"493","1","2445","1"
"494","1891","2406","1"
"495","1","2450","1"
"496","1","2447","1"
"497","1","2470","1"
"498","1","2472","1"
"499","1","2501","1"
"500","1","2498","1"
"502","1","2503","1"
"503","1","2502","1"
"504","1","2506","1"
"505","1","2520","1"
"506","1","2518","1"
"507","1","2517","1"
"508","1","2516","1"
"509","1","2528","1"
"510","1","2532","1"
"511","1","2530","1"
"513","1","2531","1"
"515","1","2549","1"
"516","1","2547","1"
"517","1","2545","1"
"518","1","2544","1"
"519","1","2542","1"
"520","1","2537","1"
"521","1","1905","1"
"522","1","2556","1"
"523","2383","1982","1"
"524","1","2562","1"
"525","1","2561","1"
"526","1","2563","1"
"527","1","2567","1"
"529","1","2579","1"
"530","1","2585","1"
"531","1","2590","1"
"532","1","2586","1"
"533","1","2594","1"
"536","1","2597","1"
"537","1","2601","1"
"538","1","2602","1"
"540","1","2605","1"
"541","1","2603","1"
"542","1","2607","1"
"543","1","2615","1"
"544","1","2625","1"
"545","1","2632","1"
"547","1","2629","1"
"548","1","2638","1"
"549","1","2640","1"
"550","1","2637","1"
"551","1","2634","1"
"552","1","2621","1"
"554","1","2645","1"
"555","1","2650","1"
"556","1","2648","1"
"557","1","2654","1"
"558","1","2658","1"
"559","1","2657","1"
"560","1","2660","1"
"561","1","2663","1"
"562","1","2677","1"
"563","1","2672","1"
"564","1","2668","1"
"565","1","2665","1"
"566","2654","2656","1"
"567","1","2679","1"
"569","1","2682","1"
"570","1","2680","1"
"571","1","2671","1"
"572","1","2686","1"
"573","1","2689","1"
"574","1","2704","1"
"575","1","2702","1"
"576","1","2700","1"
"579","1","2706","1"
"580","1","2709","1"
"581","1","2708","1"
"582","1","2707","1"
"584","1","2725","1"
"586","1","2749","1"
"587","1","2744","1"
"588","1","2737","1"
"589","1","2774","1"
"590","1","2238","1"
"591","1","2717","1"
"592","1","2816","1"
"593","1","2819","1"
"594","1","2815","1"
"595","1","2807","1"
"596","1","2806","1"
"597","1","2769","1"
"598","1","2766","1"
"599","1","2758","1"
"600","1","2074","1"
"601","1","2369","1"
"603","1","2822","1"
"604","1","2835","1"
"614","2835","2807","1"
"617","1","1890","1"
"620","1","1848","1"
"623","2835","2021","1"
"627","2835","1848","1"
"628","2835","1905","1"
"629","1","2368","1"
"630","1","2295","1"
"631","1","2094","1"
"632","1","2009","1"
"633","1","2734","1"
"634","1","1889","1"
"635","1","2566","1"
"636","1","2527","1"
"637","1","2132","1"
"638","1","2046","1"
"639","1","2867","1"
"640","1","2726","1"
"641","1","2712","1"
"642","1","2713","1"
"643","1","2699","1"
"644","1","2683","1"
"645","1","2606","1"
"652","2874","2867","1"
"654","1","2877","1"
"655","1","2904","1"
"656","1","2909","1"
"657","1","2911","1"
"658","1","2941","1"
"659","1","2933","1"
"660","1","2949","1"
